base currency,quote currency,fee tier
BTC,USDC,100
BTC,DOGE,10000
BTC,WSTETH,100
BTC,SHIB,10000
BTC,OM,3000
BTC,DAI,500
BTC,sUSDe,10000
BTC,ETC,3000
BTC,FET,3000
BTC,SolvBTC,100
BTC,LDO,500
USDT,DOGE,100
USDT,LINK,500
USDT,OM,3000
USDT,sUSDe,100
USDT,ONDO,3000
USDT,ETC,10000
USDT,OKB,10000
USDT,RNDR,3000
USDT,GT,3000
USDT,FTN,3000
USDT,FET,10000
USDT,MKR,500
USDT,IP,3000
USDT,IMX,10000
USDT,GRT,3000
USDT,LDO,500
USDT,MOVE,10000
USDT,USD0++,100
SOL,USDC,3000
SOL,DOGE,10000
SOL,SHIB,10000
SOL,WETH,100
SOL,ARB,10000
USDC,BTC,100
USDC,SOL,3000
USDC,WBTC,100
USDC,LINK,500
USDC,LEO,3000
USDC,TON,3000
USDC,SHIB,500
USDC,UNI,100
USDC,PEPE,3000
USDC,AAVE,500
USDC,ETC,3000
USDC,TAO,3000
USDC,POL,3000
USDC,FDUSD,10000
USDC,RNDR,3000
USDC,CRO,3000
USDC,GT,3000
USDC,ARB,3000
USDC,OP,3000
USDC,FET,3000
USDC,KCS,10000
USDC,MKR,500
USDC,IP,3000
USDC,IMX,3000
USDC,RETH,3000
USDC,LDO,3000
USDC,QNT,3000
USDC,MOVE,10000
DOGE,BTC,10000
DOGE,USDT,100
DOGE,SOL,10000
DOGE,WBTC,10000
DOGE,WSTETH,3000
DOGE,LINK,10000
DOGE,WETH,100
DOGE,OM,10000
DOGE,USDe,100
DOGE,weETH,10000
DOGE,UNI,10000
DOGE,sUSDe,10000
DOGE,ONDO,10000
DOGE,PEPE,3000
DOGE,AAVE,10000
DOGE,ETC,10000
DOGE,TAO,3000
DOGE,RNDR,10000
DOGE,FET,10000
DOGE,MKR,10000
DOGE,INJ,10000
DOGE,LDO,10000
ADA,WETH,10000
stETH,WETH,100
TRX,WETH,500
WBTC,USDC,100
WBTC,DOGE,10000
WBTC,WSTETH,100
WBTC,SHIB,10000
WBTC,OM,3000
WBTC,DAI,500
WBTC,sUSDe,10000
WBTC,ETC,3000
WBTC,FET,3000
WBTC,SolvBTC,100
WBTC,LDO,500
WSTETH,BTC,100
WSTETH,DOGE,3000
WSTETH,WBTC,100
WSTETH,weETH,100
WSTETH,UNI,3000
WSTETH,sUSDe,3000
WSTETH,METH,100
LINK,USDT,500
LINK,USDC,500
LINK,DOGE,10000
LINK,WETH,100
LINK,DAI,500
LINK,AAVE,500
LINK,LDO,10000
LINK,QNT,3000
LEO,USDC,3000
TON,USDC,3000
SHIB,BTC,10000
SHIB,SOL,10000
SHIB,USDC,500
SHIB,WBTC,10000
SHIB,AAVE,10000
WETH,SOL,100
WETH,DOGE,100
WETH,ADA,10000
WETH,stETH,100
WETH,TRX,500
