base_currency,quote_currency,fee_tier
BTC,USDT,100
BTC,SOL,10000
BTC,LINK,3000
BTC,WETH,100
BTC,UNI,3000
BTC,PEPE,3000
BTC,AAVE,3000
BTC,MKR,100
BTC,QNT,10000
USDT,BTC,100
USDT,BNB,3000
USDT,USDC,100
USDT,WBTC,100
USDT,WSTETH,500
USDT,SUI,3000
USDT,SHIB,3000
USDT,WETH,100
USDT,BCH,3000
USDT,BTCB,10000
USDT,USDe,100
USDT,DAI,100
USDT,UNI,500
USDT,PEPE,3000
USDT,AAVE,3000
USDT,TAO,10000
USDT,KAS,10000
USDT,FDUSD,100
USDT,ARB,10000
USDT,ENA,3000
USDT,QNT,10000
USDT,USD0,100
USDT,BONK,10000
XRP,WETH,10000
BNB,USDT,3000
BNB,USDC,3000
BNB,WETH,3000
BNB,PEPE,10000
BNB,WBNB,10000
SOL,BTC,10000
SOL,WBTC,10000
USDC,USDT,100
USDC,BNB,3000
USDC,DOGE,100
USDC,stETH,3000
USDC,TRX,3000
USDC,WSTETH,500
USDC,WETH,100
USDC,OM,3000
USDC,USDe,100
USDC,DAI,100
USDC,NEAR,3000
USDC,sUSDe,500
USDC,ONDO,3000
USDC,ENA,500
USDC,GRT,3000
USDC,USD0,100
USDC,BONK,10000
USDC,USD0++,500
DOGE,USDC,100
DOGE,SHIB,10000
DOGE,DAI,3000
stETH,USDC,3000
TRX,USDC,3000
WBTC,USDT,100
WBTC,SOL,10000
WBTC,WETH,100
WBTC,UNI,3000
WBTC,PEPE,3000
WBTC,AAVE,3000
WBTC,MKR,100
WBTC,QNT,10000
WSTETH,USDT,500
WSTETH,USDC,500
WSTETH,WETH,100
WSTETH,USDe,500
WSTETH,OP,10000
WSTETH,RSETH,500
WSTETH,RETH,100
LINK,BTC,3000
LINK,WBTC,3000
LINK,UNI,3000
LINK,GRT,10000
AVAX,WETH,3000
LEO,WETH,10000
SUI,USDT,3000
TON,WETH,3000
SHIB,USDT,3000
SHIB,DOGE,10000
SHIB,WETH,500
SHIB,UNI,10000
SHIB,PEPE,10000
WETH,BTC,100
WETH,USDT,100
WETH,XRP,10000
WETH,BNB,3000
WETH,USDC,100
WETH,WBTC,100
WETH,WSTETH,100
WETH,AVAX,3000
WETH,LEO,10000
WETH,TON,3000
WETH,SHIB,500
WETH,DOT,3000
WETH,HYPE,3000
WETH,weETH,100
WETH,UNI,500
WETH,ONDO,3000
WETH,AAVE,500
WETH,ETC,3000
WETH,TAO,100
WETH,KAS,3000
WETH,RNDR,3000
WETH,GT,500
WETH,ARB,3000
WETH,OP,3000
WETH,FET,3000
WETH,KCS,3000
WETH,IP,3000
WETH,ENA,500
WETH,RSETH,500
WETH,IMX,3000
WETH,GRT,3000
WETH,MOVE,100
WETH,FLR,10000
OM,USDC,3000
OM,QNT,500
DOT,WETH,3000
HYPE,WETH,3000
BCH,USDT,3000
BTCB,USDT,10000
BTCB,DAI,10000
USDe,USDT,100
USDe,USDC,100
USDe,WSTETH,500
DAI,USDT,100
DAI,USDC,100
DAI,DOGE,3000
DAI,BTCB,10000
DAI,UNI,500
DAI,MKR,3000
DAI,LDO,10000
DAI,QNT,10000
weETH,WETH,100
UNI,BTC,3000
UNI,USDT,500
UNI,WBTC,3000
UNI,LINK,3000
UNI,SHIB,10000
UNI,WETH,500
UNI,DAI,500
UNI,KAS,3000
NEAR,USDC,3000
sUSDe,USDC,500
ONDO,USDC,3000
ONDO,WETH,3000
PEPE,BTC,3000
PEPE,USDT,3000
PEPE,BNB,10000
PEPE,WBTC,3000
PEPE,SHIB,10000
AAVE,BTC,3000
AAVE,USDT,3000
AAVE,WBTC,3000
AAVE,WETH,500
ETC,WETH,3000
TAO,USDT,10000
TAO,WETH,100
KAS,USDT,10000
KAS,WETH,3000
KAS,UNI,3000
RNDR,WETH,3000
GT,WETH,500
ARB,USDT,10000
ARB,WETH,3000
OP,WSTETH,10000
OP,WETH,3000
FET,WETH,3000
KCS,WETH,3000
MKR,BTC,100
MKR,WBTC,100
MKR,DAI,3000
IP,WETH,3000
SolvBTC,USD0,3000
ENA,USDT,3000
ENA,USDC,500
ENA,WETH,500
RSETH,WSTETH,500
RSETH,WETH,500
IMX,WETH,3000
GRT,USDC,3000
GRT,LINK,10000
GRT,WETH,3000
RETH,WSTETH,100
LDO,DAI,10000
QNT,BTC,10000
QNT,USDT,10000
QNT,WBTC,10000
QNT,OM,500
QNT,DAI,10000
USD0,USDT,100
USD0,USDC,100
USD0,SolvBTC,3000
MOVE,WETH,100
BONK,USDT,10000
BONK,USDC,10000
FLR,WETH,10000
WBNB,BNB,10000
USD0++,USDC,500
