symbol,address,decimals
BTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
ETH,0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,18
USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
XRP,0x39fbbabf11738317a448031930706cd3e612e1b9,18
BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52,18
SOL,0xd31a59c85ae9d8edefec411d448f90841571b89c,9
USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
DOGE,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,18
ADA,0x3a880652f47bfaa771908c07dd8673a787daed3a,18
stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
WTRX,0x442d57797bd2aec17a22b8f8c14d3ac6917df516,18
TRX,0x50327c6c5a14dcade707abad2e27eb517df87ab5,6
PI-3,0xb0393fbf63ab60631d7eff415bb78387adedb628,18
WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
HBAR,0xa43c7f27e36279645bd1620070414e564ec291a9,18
WSTETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,18
XLM,0x1e66008a24a486456a796e0c771fdc0cdf43cad9,18
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
LTC,0xce246eea10988c495b4a90a905ee9237a0f91543,18
AVAX,0x85f138bfee4ef8e540890cfb48f620571d67eda3,18
LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18
SUI,0xaec613188b1e178d42a05d352044d54854c3196a,18
TON,0xd8912c10681d8b21fd3742244f44658dba12264e,18
SHIB,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18
USDS-3,0x07f9a54dc5135b9878d6745e267625bf0e206840,18
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
OM,0xc00e94cb662c3520282e6f5717214004a7f26888,18
DOT,0x4740735aa98dc8aa232bd049f8f0210458e7fca3,18
HYPE,0x85225ed797fd4128ac45a992c46ea4681a7a15da,18
BCH,0xdfbc9050f5b01df53512dcc39b4f2b2bbacd517a,8
BTCB,0xe57425f1598f9b0d6219706b77f4b3da573a3695,18
USDe,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,18
DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
BGB,0x54d2252757e1672eead234d27b1270728ff90581,18
WBETH,0xa2e3356610840701bdf5611a53974510ae27e2e1,18
weETH,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,18
UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
XMR,0x035df12e0f3ac6671126525f1015e47d79dfeddf,18
NEAR,0x3e9bc21c9b189c09df3ef1b824798658d5011937,18
APT,0x2edf094db69d6dcd487f1b3db9febe2eec0dd4c5,18
sUSDe,0x9d39a5de30e57443bff2a8307a4256c8797a3497,18
ONDO,0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,18
PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,18
ICP,0x3bfce6d6f0d3d3f1326d86abdbe2845b4740dc2e,18
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
ETC,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,18
TAO,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,9
OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,18
POL,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,18
VET,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,8
JITOSOL,0x30536f8bc36eacb2125a40a27ef5876bdd295e29,9
ALGO,0xddf7fd345d54ff4b40079579d4c4670415dbfd0a,18
S-2,0x79e18a519d60c2ef7e18aac08d60ba0d4eee2511,18
FIL,0x965b85d4674f64422c4898c8f8083187f02b32c0,8
KAS,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,18
FDUSD,0xc5f0f7b66764f6ec8c8dff7ba683102295e16409,18
RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18
CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8
GT,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,18
ARB,0xb50721bcf8d664c30412cfbc6cf7a15145234ad1,18
ATOM,0x44017598f2af1bd733f9d87b5017b4e7c1b28dde,6
LBTC-2,0xbc35161043ee2d74816d421efd6a45fda73b050a,8
FTN,0xaedf386b755465871ff874e3e37af5976e247064,18
OP,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,18
WFTM,0x4cd2690d86284e044cb63e60f1eb218a825a7e92,18
FET,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,18
DEXE,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6,18
KCS,0xf34960d9d60be18cc1d5afc1a6f012a723a28811,6
MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
IP,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,18
SolvBTC,0x7a56e1c57c7475ccf742a1832b028f0456652f97,18
INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18
XDC,0x41ab1b6fcbb2fa9dced81acbdec13ea6315f2bf2,18
ENA,0x57e114b691db790c35207b2e685d4a43181e6061,18
RSETH,0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,18
IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18
BBTC-3,0x056f3a2e41d2778d3a0c0714439c53af2987718e,8
THETA,0x0000000de40dfa9b17854cbc7869d80f9f98d823,18
SEI,0x39795344cbcc76cc3fb94b9d1b15c23c2070c66d,9
GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
RETH,0xe95a203b1a91a908f9b9ce46459d101078c2c3cb,18
LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18
QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18
USD0,0x73a15fed60bf67631dc6cd7bc5b6e8da8190acf5,18
MOVE,0x3073f7aaa4db83f95e9fff17424f71d4751a3073,8
BONK,0x1151cb3d861920e07a38e03eead12c32178567f6,5
BNSOL,0xf232094ca5b2885d33090ea1668214161525cc02,18
FLR,0x9138c8779a0ac8a84d69617d5715bd8afa23c650,18
METH,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,18
WBNB,0x418d75f65a02b3d53b2418fb8e1fe493759c7605,18
USD0++,0x35d8949372d46b7a3d5a56006ae77b215fc69bc0,18
ZBU,0xe77f6acd24185e149e329c1c0f479201b9ec2f4b,18
